kp_id,name,subject,subject_zh,stage,grade,curriculum,domain,path,curriculum_points_count,excerpts_count,curriculum_md_chars,has_curriculum_md,textbook_chapter,textbook_chars,has_usable_textbook,exercises_count,errors_count,interactive_count,real_world_count,has_teaching_methods,has_extensions,gap_count,gaps,quality_flags
bio-m-biodiversity-m,生物多样性及其保护,biology,生物,middle,8,cn,生物多样性与跨学科实践,data/kp/biology/bio-m-biodiversity-m.json,3,3,991,True,,5715,True,3,2,0,1,True,True,0,,
bio-m-biology-cross-disciplinary-practice,生物学跨学科实践,biology,生物,middle,8,cn,生物多样性与跨学科实践,data/kp/biology/bio-m-biology-cross-disciplinary-practice.json,4,4,1281,True,,5115,True,3,2,0,1,True,True,0,,
bio-m-biosphere,生物圈,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-biosphere.json,4,4,993,True,,5683,True,3,2,0,1,True,True,0,,
bio-m-biosphere-largest,生物圈是最大的生态系统,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-biosphere-largest.json,3,3,965,True,,5711,True,3,2,0,1,True,True,0,,
bio-m-biosphere-scope,生物圈的范围,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-biosphere-scope.json,3,3,976,True,,5683,True,3,2,0,1,True,True,0,,
bio-m-cell-basics,细胞基础,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-basics.json,3,3,897,True,,5254,True,3,2,0,1,True,True,0,,
bio-m-cell-division-junior,细胞分化,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-division-junior.json,3,3,900,True,,5254,True,3,2,0,1,True,True,0,,
bio-m-cell-division-m,细胞分裂,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-division-m.json,3,3,910,True,必修一 第6章,5183,True,3,2,0,1,True,True,0,,
bio-m-cell-life-activities,细胞的生命活动,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-life-activities.json,3,3,964,True,,5254,True,3,2,0,1,True,True,0,,
bio-m-cell-structure-m,细胞的结构,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-cell-structure-m.json,3,3,1048,True,必修一 第3章,5735,True,3,2,0,1,True,True,0,,
bio-m-circulation-respiration,循环与呼吸综合,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-circulation-respiration.json,3,3,1029,True,,5567,True,3,2,0,1,True,True,0,,
bio-m-circulatory-system,循环系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-circulatory-system.json,3,3,970,True,,5808,True,3,2,0,1,True,True,0,,
bio-m-digestion-system,消化系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-digestion-system.json,3,3,921,True,,5802,True,3,2,0,1,True,True,0,,
bio-m-eco-factors,生态因素,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-eco-factors.json,4,4,970,True,,5129,True,3,2,0,1,True,True,0,,
bio-m-ecosystem-junior,生态系统的组成,biology,生物,middle,8,cn,生物与环境,data/kp/biology/bio-m-ecosystem-junior.json,4,4,1005,True,,5709,True,3,2,0,1,True,True,0,,
bio-m-endocrine-system-m,内分泌系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-endocrine-system-m.json,2,2,1080,True,,5033,True,3,2,0,1,True,True,0,,
bio-m-excretory-system,排泄系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-excretory-system.json,4,4,938,True,,5115,True,3,2,0,1,True,True,0,,
bio-m-flower-structure,花的结构与传粉,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-flower-structure.json,3,3,1055,True,,5753,True,3,2,0,1,True,True,0,,
bio-m-food-chain,食物链与食物网,biology,生物,middle,7,cn,生物与环境,data/kp/biology/bio-m-food-chain.json,3,3,949,True,,5739,True,3,2,0,1,True,True,0,,
bio-m-fruit-seed-formation,果实与种子的形成,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-fruit-seed-formation.json,3,3,1051,True,,5736,True,3,2,0,1,True,True,0,,
bio-m-human-body-overview,人体概述,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-human-body-overview.json,3,3,973,True,,5760,True,3,2,0,1,True,True,0,,
bio-m-infectious-disease,传染病与免疫,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-infectious-disease.json,2,2,999,True,,5703,True,3,2,0,1,True,True,0,,
bio-m-leaf-structure,叶片结构,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-leaf-structure.json,3,3,948,True,,5753,True,3,2,0,1,True,True,0,,
bio-m-microorganism,微生物（细菌/真菌/病毒）,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-microorganism.json,4,4,1074,True,,5721,True,3,2,0,1,True,True,0,,
bio-m-microorganism-health,微生物与人类健康,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-microorganism-health.json,3,3,1007,True,,5721,True,3,2,0,1,True,True,0,,
bio-m-microscope-use,显微镜的使用,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-microscope-use.json,3,3,1167,True,,5547,True,3,2,0,1,True,True,0,,
bio-m-nervous-system-m,神经系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-nervous-system-m.json,2,2,1012,True,,5663,True,3,2,0,1,True,True,0,,
bio-m-photosynthesis-m,光合作用,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-photosynthesis-m.json,2,2,936,True,,5721,True,3,2,0,1,True,True,0,,
bio-m-plant-classification,植物的主要类群,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-plant-classification.json,3,3,1038,True,,5697,True,3,2,0,1,True,True,0,,
bio-m-plant-structure,绿色植物整体结构,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-plant-structure.json,3,3,1062,True,,5697,True,3,2,0,1,True,True,0,,
bio-m-reproduction-development,人的生殖与发育,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-reproduction-development.json,3,3,1122,True,第四单元 第7章,5115,True,3,2,0,1,True,True,0,,
bio-m-respiration-m,呼吸作用,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-respiration-m.json,3,3,1004,True,,5434,True,3,2,0,1,True,True,0,,
bio-m-respiratory-system,呼吸系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-respiratory-system.json,3,3,979,True,,5810,True,3,2,0,1,True,True,0,,
bio-m-root-tip,根尖结构,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-root-tip.json,4,4,918,True,,5703,True,3,2,0,1,True,True,0,,
bio-m-seed-structure,种子结构与萌发,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-seed-structure.json,4,4,1135,True,,5698,True,3,2,0,1,True,True,0,,
bio-m-stem-transport,茎的运输作用,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-stem-transport.json,3,3,1000,True,,5515,True,3,2,0,1,True,True,0,,
bio-m-tissue-types,组织与器官,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-tissue-types.json,3,3,978,True,,5115,True,3,2,0,1,True,True,0,,
bio-m-transpiration,蒸腾作用,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-transpiration.json,3,3,941,True,,5718,True,3,2,0,1,True,True,0,,
bio-m-urinary-nervous,泌尿系统,biology,生物,middle,7,cn,人体结构与功能,data/kp/biology/bio-m-urinary-nervous.json,3,3,940,True,,5115,True,3,2,0,1,True,True,0,,
chem-h-aluminum-compounds,铝及其化合物,chemistry,化学,high,10,cn,元素化合物,data/kp/chemistry/chem-h-aluminum-compounds.json,2,2,1025,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-atom-structure-h,原子结构,chemistry,化学,high,10,cn,原子结构与周期律,data/kp/chemistry/chem-h-atom-structure-h.json,3,3,1079,True,第3单元 物质构成的奥秘,5777,True,3,2,0,1,True,True,0,,
chem-h-biomolecules,生物大分子（糖/蛋白质/核酸）,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-biomolecules.json,2,2,1304,True,,5011,True,3,2,0,1,True,True,0,,
chem-h-chemical-bond,化学键,chemistry,化学,high,10,cn,原子结构与周期律,data/kp/chemistry/chem-h-chemical-bond.json,2,2,974,True,必修二 第5章,5204,True,3,2,0,1,True,True,0,,
chem-h-chemical-equilibrium,化学平衡,chemistry,化学,high,11,cn,化学反应速率与平衡,data/kp/chemistry/chem-h-chemical-equilibrium.json,3,3,1070,True,,5267,True,3,2,0,1,True,True,0,,
chem-h-chlorine-compounds,氯及其化合物,chemistry,化学,high,10,cn,元素化合物,data/kp/chemistry/chem-h-chlorine-compounds.json,2,2,1056,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-corrosion-protection,防腐原理与应用,chemistry,化学,high,11,cn,电化学,data/kp/chemistry/chem-h-corrosion-protection.json,3,3,1052,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-dispersion-system,分散系（溶液/胶体）,chemistry,化学,high,10,cn,物质的分类与化学用语,data/kp/chemistry/chem-h-dispersion-system.json,2,2,894,True,,5707,True,3,2,0,1,True,True,0,,
chem-h-electrochemistry,电化学基础,chemistry,化学,high,11,cn,电化学,data/kp/chemistry/chem-h-electrochemistry.json,3,3,1055,True,,5735,True,3,2,0,1,True,True,0,,
chem-h-electrolysis,电解池,chemistry,化学,high,11,cn,电化学,data/kp/chemistry/chem-h-electrolysis.json,2,2,998,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-electrolyte-concept,电解质与非电解质,chemistry,化学,high,10,cn,离子反应与电解质,data/kp/chemistry/chem-h-electrolyte-concept.json,3,3,998,True,,5605,True,3,2,0,1,True,True,0,,
chem-h-enthalpy-change,焓变与反应热,chemistry,化学,high,11,cn,化学反应与能量,data/kp/chemistry/chem-h-enthalpy-change.json,2,2,1043,True,,5694,True,3,2,0,1,True,True,0,,
chem-h-equilibrium-constant,平衡常数,chemistry,化学,high,11,cn,化学反应速率与平衡,data/kp/chemistry/chem-h-equilibrium-constant.json,2,2,1040,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-functional-groups,官能团（醇/酚/醛/酸/酯）,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-functional-groups.json,2,2,1171,True,,5753,True,3,2,0,1,True,True,0,,
chem-h-galvanic-cell,原电池,chemistry,化学,high,11,cn,电化学,data/kp/chemistry/chem-h-galvanic-cell.json,3,3,1125,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-gas-molar-volume,气体摩尔体积,chemistry,化学,high,10,cn,物质的分类与化学用语,data/kp/chemistry/chem-h-gas-molar-volume.json,2,2,996,True,,5398,True,3,2,0,1,True,True,0,,
chem-h-hess-law,盖斯定律,chemistry,化学,high,11,cn,化学反应与能量,data/kp/chemistry/chem-h-hess-law.json,2,2,1035,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-hydrocarbon,烃（烷/烯/炔/芳）,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-hydrocarbon.json,2,2,1145,True,,5719,True,3,2,0,1,True,True,0,,
chem-h-hydrocarbons,烃类综合,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-hydrocarbons.json,2,2,1446,True,,5719,True,3,2,0,1,True,True,0,,
chem-h-ion-identification,离子检验与共存,chemistry,化学,high,10,cn,离子反应与电解质,data/kp/chemistry/chem-h-ion-identification.json,3,3,972,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-ionic-equation,离子方程式,chemistry,化学,high,10,cn,离子反应与电解质,data/kp/chemistry/chem-h-ionic-equation.json,2,2,923,True,,5707,True,3,2,0,1,True,True,0,,
chem-h-ionic-reactions-electrolyte,电解质与离子反应综合,chemistry,化学,high,10,cn,离子反应与电解质,data/kp/chemistry/chem-h-ionic-reactions-electrolyte.json,3,3,1014,True,,5605,True,3,2,0,1,True,True,0,,
chem-h-iron-compounds,铁及其化合物,chemistry,化学,high,10,cn,元素化合物,data/kp/chemistry/chem-h-iron-compounds.json,2,2,1025,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-le-chatelier,勒夏特列原理,chemistry,化学,high,11,cn,化学反应速率与平衡,data/kp/chemistry/chem-h-le-chatelier.json,3,3,1096,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-metal-corrosion-h,金属的腐蚀与防护（高中）,chemistry,化学,high,11,cn,电化学,data/kp/chemistry/chem-h-metal-corrosion-h.json,3,3,1092,True,,5703,True,3,2,0,1,True,True,0,,
chem-h-mole-concept,物质的量（摩尔）,chemistry,化学,high,10,cn,物质的分类与化学用语,data/kp/chemistry/chem-h-mole-concept.json,3,3,1036,True,,5697,True,3,2,0,1,True,True,0,,
chem-h-molecular-structure,分子结构与性质,chemistry,化学,high,11,cn,原子结构与周期律,data/kp/chemistry/chem-h-molecular-structure.json,3,3,1108,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-organic-derivatives,烃的衍生物,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-organic-derivatives.json,2,2,1019,True,,5719,True,3,2,0,1,True,True,0,,
chem-h-organic-intro,有机化合物入门,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-organic-intro.json,2,2,1048,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-organic-reactions,有机反应类型,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-organic-reactions.json,2,2,1168,True,选择性必修三 第3章,5312,True,3,2,0,1,True,True,0,,
chem-h-organic-synthesis,有机合成路线设计,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-organic-synthesis.json,2,2,1056,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-oxidation-reduction,氧化还原反应概念,chemistry,化学,high,10,cn,氧化还原反应,data/kp/chemistry/chem-h-oxidation-reduction.json,2,2,1029,True,,5791,True,3,2,0,1,True,True,0,,
chem-h-periodic-law,元素周期律,chemistry,化学,high,10,cn,原子结构与周期律,data/kp/chemistry/chem-h-periodic-law.json,3,3,1074,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-periodic-table-h,元素周期表,chemistry,化学,high,10,cn,原子结构与周期律,data/kp/chemistry/chem-h-periodic-table-h.json,2,2,1014,True,第3单元 物质构成的奥秘,5788,True,3,2,0,1,True,True,0,,
chem-h-polymers,高分子合成与应用,chemistry,化学,high,11,cn,有机化学基础,data/kp/chemistry/chem-h-polymers.json,2,2,1046,True,,5312,True,3,2,0,1,True,True,0,,
chem-h-reaction-rate,化学反应速率,chemistry,化学,high,11,cn,化学反应速率与平衡,data/kp/chemistry/chem-h-reaction-rate.json,2,2,1077,True,,5809,True,3,2,0,1,True,True,0,,
chem-h-reaction-rate-equilibrium,速率与平衡综合,chemistry,化学,high,11,cn,化学反应速率与平衡,data/kp/chemistry/chem-h-reaction-rate-equilibrium.json,3,3,1102,True,,5718,True,3,2,0,1,True,True,0,,
chem-h-redox-equation,氧化还原方程式配平,chemistry,化学,high,10,cn,氧化还原反应,data/kp/chemistry/chem-h-redox-equation.json,2,2,1037,True,,5707,True,3,2,0,1,True,True,0,,
